  CrystFEL reflection list version 2.0                                
  Symmetry: mmm                                                       
   h    k    l          I    phase   sigma(I)   nmeas                 
   0    5   18    1599.70        -     199.81     513
   0    5   19   14064.68        -     965.73     458
   0    5   20   39618.02        -    3122.77     483
   0    5   21     770.36        -     168.00     459
   0    5   22    2098.48        -     223.04     425
   0    5   23    2117.83        -     208.42     442
   0    5   24    7404.23        -     526.84     428
   0    5   25   13045.91        -     941.70     404
   0    5   26    6693.48        -     414.06     390
   0    5   27    2226.45        -     177.23     378
   0    5   28     -25.88        -     105.74     373
   0    5   29   12722.30        -     661.05     396
   0    5   30   15300.69        -     937.38     334
   0    5   31     900.25        -     102.59     290
   0    5   32     202.69        -      66.49     323
   0    5   33      -5.63        -      59.17     304
   0    5   34    2153.37        -     157.53     303
   0    5   35    1176.99        -      92.47     281
   0    5   36      93.35        -      44.81     267
   0    5   37     220.16        -      45.70     297
   0    5   38     201.99        -      42.03     250
   0    5   39     -23.84        -      32.26     302
   0    5   40    1227.31        -      85.80     276
   0    5   41     509.73        -      44.58     275
   0    5   42     175.53        -      28.98     238
   0    5   43      26.81        -      18.82     246
   0    5   44      36.14        -      21.53     223
   0    5   45     -21.47        -      14.99     238
   0    5   46     127.42        -      18.61     246
   0    5   47      -4.21        -      14.12     196
   0    5   48      39.13        -      13.20     183
   0    5   49     134.77        -      24.27     211
   0    5   50      15.77        -       9.88     174
   0    5   51     -25.24        -       9.93     133
   0    5   52      -5.25        -      10.66     112
   0    5   53       9.95        -      10.21      65
   0    5   54      13.10        -       8.04      43
   0    5   55       3.54        -      12.35      31
   0    5   56      -3.26        -       9.91      29
   0    5   57      11.78        -       9.19      24
   0    5   58      10.38        -       9.01       8
   0    5   59     -22.14        -      18.35       6
   0    5   60     -29.47        -      16.07       2
   0    6    0   17576.64        -    1624.82     828
   0    6    1    3307.08        -     375.72    1505
   0    6    2   88359.59        -    6226.65    1668
   0    6    3  168299.78        -   11323.60    1466
   0    6    4   43748.43        -    3392.37    1434
   0    6    5   15492.33        -    1239.18    1266
   0    6    6    1929.25        -     206.64    1185
   0    6    7   97799.48        -    6921.20    1066
   0    6    8    8458.90        -     677.26    1013
   0    6    9   53355.26        -    4108.45     957
   0    6   10   52832.63        -    3766.12     874
   0    6   11   12588.72        -     983.29     786
   0    6   12   15458.37        -    1135.09     671
   0    6   13   51508.77        -    4065.34     650
   0    6   14   90802.30        -    7904.28     621
   0    6   15   19663.44        -    1531.93     555
   0    6   16     126.77        -     167.34     576
   0    6   17    2408.50        -     240.40     522
   0    6   18      44.60        -     155.04     505
   0    6   19   22641.07        -    1588.00     448
   0    6   20    1071.27        -     169.54     440
   0    6   21     -93.85        -     139.99     456
   0    6   22  174116.06        -   10032.66     497
   0    6   23    8638.44        -     563.50     404
   0    6   24     643.87        -     153.21     397
   0    6   25    1782.40        -     188.30     445
   0    6   26    1092.10        -     156.40     447
   0    6   27    6102.78        -     320.39     433
   0    6   28   38434.38        -    2212.95     434
   0    6   29      -6.83        -      94.79     382
   0    6   30    3457.33        -     232.41     345
   0    6   31     310.97        -      73.13     344
